unit,fr
count,nombre
distance in km,distance en km
proximity in km,proximité en km
Kwp,Kwp
kVA,kVA
km,km
people,personnes
households,ménages
MW,MW
GWh,GWh
Metric Tonnes,tonnes métriques
tCO2eq,tCO2eq
USD,USD
m³/yr,m³/an
km (proximity to),km (proximité de)
kWh/m²,kWh/m²
ppl/km²,pers/km²
%,%
Coverage (%) per km²,couverture (%) par km²
kWh/ha/year,kWh/ha/an
minutes,minutes
hours,heures
hours/hh.day,heures/mén.jour
m/s,m/s
degree,degré
degree celcius,degré Celsius
mm,mm
metre,mètre
kg/ha,kg/ha
Gigajoule per sq km,gigajoule par km²
USD/household,USD/ménage
bldgs/km²,bât./km²
tier,niveau
year,année
< 2USD/day,< 2 USD/jour
RWI,RWI
Aridity Index,indice d'aridité
calibrated radiance,radiance calibrée
People per 100k population,personnes pour 100k habitants
